addr,lat,lng,addr_norm,bank_code,bank_name,branch_code,branch_name,tel_no,manager,establish_date,extended_open_time,url,CODEBASE,CODE1,CODE2,VILLCODE,TOWN,COUNTY,CODEBASE_分行數,CODE1_分行數,CODE2_分行數,VILLAGE_分行數
台北市中正區館前路65號,25.044307,121.515075,台北市中正區黎明里館前路65號,013,國泰世華商業銀行,0130017,國泰世華商業銀行館前分行,02-23125555,張雪紅,1975-05-20,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0130017",A6305-0066-00,A6305-02-008,A6305-02,A6305-024-00,中正區,臺北市,5,13,19,19
台北市館前路65號,25.044307,121.515075,台北市中正區黎明里館前路65號,013,國泰世華商業銀行,0130028,國泰世華商業銀行國外部,02-23163555,李文鴻,1975-05-20,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0130028",A6305-0066-00,A6305-02-008,A6305-02,A6305-024-00,中正區,臺北市,5,13,19,19
台北市館前路65號,25.044307,121.515075,台北市中正區黎明里館前路65號,013,國泰世華商業銀行,0130338,國泰世華商業銀行國際金融業務分行,02-23163555,張璁,1989-10-27,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0130338",A6305-0066-00,A6305-02-008,A6305-02,A6305-024-00,中正區,臺北市,5,13,19,19
台北市中正區襄陽路1號,25.043484,121.516401,台北市中正區黎明里襄陽路1號,805,遠東國際商業銀行,8050023,遠東國際商業銀行台北襄陽分行,02-23814567,陳幸華,1992-04-11,星期一至五 09:00至15:30,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8050023",A6305-0067-00,A6305-02-008,A6305-02,A6305-024-00,中正區,臺北市,1,13,19,19
台北市中正區重慶南路一段27號,25.045595,121.51336,台北市中正區黎明里重慶南路一段27號,009,彰化商業銀行,0095012,彰化商業銀行台北分行,02-23617211-,邱美麗,1979-11-05,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0095012",A6305-0031-00,A6305-02-003,A6305-02,A6305-024-00,中正區,臺北市,1,1,19,19
台北市中正區襄陽路8號,25.043367,121.513414,台北市中正區黎明里襄陽路8號,021,花旗(台灣)商業銀行,0210199,花旗(台灣)商業銀行襄陽分行,02-23715181,陳惠玲,2007-12-01,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0210199",A6305-0090-00,A6305-02-009,A6305-02,A6305-024-00,中正區,臺北市,2,3,19,19
台北市重慶南路一段115號,25.042637,121.513281,台北市中正區黎明里重慶南路一段115號,103,臺灣新光商業銀行,1030116,臺灣新光商業銀行城內分行,02-23814518,謝莉玲,2005-12-31,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=1030116",A6305-0090-00,A6305-02-009,A6305-02,A6305-024-00,中正區,臺北市,2,3,19,19
台北市中正區重慶南路一段83號,25.043722,121.51331,台北市中正區黎明里重慶南路一段83號,822,中國信託商業銀行,8220107,中國信託商業銀行城中分行,02-23818740,柯玲玫,1992-07-01,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8220107",A6305-0071-00,A6305-02-009,A6305-02,A6305-024-00,中正區,臺北市,1,3,19,19
台北市重慶南路一段57號,25.04464,121.513333,台北市中正區黎明里重慶南路一段57號,812,台新國際商業銀行,8120610,台新國際商業銀行西門分行,02-23717878,林秀娟,2002-05-20,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8120610",A6305-0055-00,A6305-02-007,A6305-02,A6305-024-00,中正區,臺北市,1,1,19,19
台北市中正區忠孝西路一段4號,25.045747,121.518491,台北市中正區黎明里忠孝西路一段4號,822,中國信託商業銀行,8222145,中國信託商業銀行站前分行,02-23113598,江欣晏,1989-04-28,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8222145",A6305-0039-00,A6305-02-005,A6305-02,A6305-024-00,中正區,臺北市,1,1,19,19
台北市延平南路81號,25.043673,121.510767,台北市中正區光復里延平南路81號,005,臺灣土地銀行,0051622,臺灣土地銀行證券部,02-23483902,劉慧年,2009-10-06,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0051622",A6305-0075-00,A6305-07-003,A6305-07,A6305-023-00,中正區,臺北市,2,4,13,23
台北市中正區永綏街7號,25.043203,121.510866,台北市中正區光復里永綏街7號,006,合作金庫商業銀行,0061047,信託部,02-23118001,王淑娟,1988-09-23,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0061047",A6305-0075-00,A6305-07-003,A6305-07,A6305-023-00,中正區,臺北市,2,4,13,23
台北市中正區衡陽路87號,25.042329,121.510585,台北市中正區光復里衡陽路87號,006,合作金庫商業銀行,0060800,合作金庫商業銀行城內分行,02-23812900,葉國欽,1986-12-08,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0060800",A6305-0095-00,A6305-07-003,A6305-07,A6305-023-00,中正區,臺北市,2,4,13,23
台北市衡陽路91號,25.042315,121.510281,台北市中正區光復里衡陽路91號,017,兆豐國際商業銀行,0172406,兆豐國際商業銀行衡陽分行,02-23888668,范維莘,1994-09-21,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0172406",A6305-0095-00,A6305-07-003,A6305-07,A6305-023-00,中正區,臺北市,2,4,13,23
台北市博愛路93號,25.043185,121.511562,台北市中正區光復里博愛路93號,008,華南商業銀行,0081038,華南商業銀行城內分行,02-23818780,梁才媛,1975-10-30,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0081038",A6305-0080-00,A6305-07-002,A6305-07,A6305-023-00,中正區,臺北市,2,2,13,23
台北市中正區博愛路77號,25.043649,121.511561,台北市中正區光復里博愛路77號,013,國泰世華商業銀行,0130073,國泰世華商業銀行台北分行,02-23319595,劉曼瑛,1981-10-24,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0130073",A6305-0080-00,A6305-07-002,A6305-07,A6305-023-00,中正區,臺北市,2,2,13,23
台北市中正區重慶南路一段72號,25.043431,121.51305,台北市中正區光復里重慶南路一段72號,050,臺灣中小企業銀行,0500500,臺灣中小企業銀行台北分行,02-23717171,孫台,1976-07-01,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0500500",A6305-0083-00,A6305-07-001,A6305-07,A6305-023-00,中正區,臺北市,2,2,13,23
台北市重慶南路1段64號,25.043748,121.513068,台北市中正區光復里重慶南路一段64號,101,瑞興商業銀行,1010206,瑞興商業銀行城內分行,02-77293311,丁淑惠,2007-07-01,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=1010206",A6305-0083-00,A6305-07-001,A6305-07,A6305-023-00,中正區,臺北市,2,2,13,23
台北市中正區武昌街一段49號,25.044294,121.510838,台北市中正區光復里武昌街一段49號,004,臺灣銀行,0040082,臺灣銀行信託部,02-23493456,黃欉樹,1961-10-01,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0040082",A6305-0052-00,A6305-01-008,A6305-01,A6305-023-00,中正區,臺北市,3,4,15,23
台北市中正區武昌街1段49號,25.044294,121.510838,台北市中正區光復里武昌街一段49號,004,臺灣銀行,0040691,臺灣銀行國際金融業務分行,02-23493456,陳逸琳,1984-10-15,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0040691",A6305-0052-00,A6305-01-008,A6305-01,A6305-023-00,中正區,臺北市,3,4,15,23
台北市中正區武昌街1段49號,25.044294,121.510838,台北市中正區光復里武昌街一段49號,004,臺灣銀行,0042363,臺灣銀行武昌分行,02-23493456,康協益,2007-07-01,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0042363",A6305-0052-00,A6305-01-008,A6305-01,A6305-023-00,中正區,臺北市,3,4,15,23
台北市博愛路72號,25.04479,121.511346,台北市中正區光復里博愛路72號,005,臺灣土地銀行,0050050,臺灣土地銀行台北分行,02-23713241,李友方,1946-11-10,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0050050",A6305-0051-00,A6305-01-008,A6305-01,A6305-023-00,中正區,臺北市,1,4,15,23
台北市中正區重慶南路一段30號,25.045622,121.513084,台北市中正區光復里重慶南路一段30號,007,第一商業銀行,0070731,第一商業銀行信託處,02-23481111,林昭賢,,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0070731",A6305-0034-00,A6305-01-005,A6305-01,A6305-023-00,中正區,臺北市,4,5,15,23
臺北市中正區重慶南路一段30號,25.045622,121.513084,台北市中正區光復里重慶南路一段30號,007,第一商業銀行,0070937,第一商業銀行營業部,02-23481111,陳妙娟,,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0070937",A6305-0034-00,A6305-01-005,A6305-01,A6305-023-00,中正區,臺北市,4,5,15,23
臺北市中正區重慶南路一段30號,25.045622,121.513084,台北市中正區光復里重慶南路一段30號,007,第一商業銀行,0070959,第一商業銀行國際金融業務分行,02-23481111,莊麗香,1984-08-15,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0070959",A6305-0034-00,A6305-01-005,A6305-01,A6305-023-00,中正區,臺北市,4,5,15,23
台北市中正區漢口街一段45號,25.045331,121.512584,台北市中正區光復里漢口街一段45號,814,大眾商業銀行,8140726,大眾商業銀行中正分行,02-2311-3166,,2010-03-10,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8140726",A6305-0034-00,A6305-01-005,A6305-01,A6305-023-00,中正區,臺北市,4,5,15,23
台北市中正區博愛路17號,25.045698,121.511434,台北市中正區光復里博愛路17號,807,永豐商業銀行,8071262,永豐商業銀行城中分行,02-23817777,游俊鴻,1980-10-06,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071262",A6305-0032-00,A6305-01-005,A6305-01,A6305-023-00,中正區,臺北市,1,5,15,23
台北市重慶南路一段38號,25.044888,121.513093,台北市中正區光復里重慶南路一段38號,008,華南商業銀行,0081005,華南商業銀行營業部,02-23713111,周宜璋,1947-03-01,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0081005",A6305-0054-00,A6305-01-010,A6305-01,A6305-023-00,中正區,臺北市,1,1,15,23
台北市中山區博愛路38號,25.045911,121.511203,台北市中正區光復里博愛路38號,016,高雄銀行,0162450,高雄銀行博愛分行,02-23751188,邱暉雯,2002-04-19,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0162450",A6305-0033-00,A6305-01-006,A6305-01,A6305-023-00,中正區,臺北市,1,1,15,23
臺北市中正區光復里武昌街一段77號,25.044271,121.509641,台北市中正區光復里武昌街一段77號,808,玉山商業銀行,8080532,玉山商業銀行城中分行,02-23891313,陳美女,2001-12-28,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8080532",A6305-0063-00,A6305-01-011,A6305-01,A6305-023-00,中正區,臺北市,1,1,15,23
臺北市中正區重慶南路1段10號,25.046607,121.513111,台北市中正區光復里重慶南路一段10號,815,日盛國際商業銀行,8150015,日盛國際商業銀行營業部,02-23889888,王婉儀,1992-04-09,星期一至五 09:00至16:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8150015",A6305-0013-00,A6305-01-003,A6305-01,A6305-023-00,中正區,臺北市,3,3,15,23
臺北市中正區重慶南路1段10號,25.046607,121.513111,台北市中正區光復里重慶南路一段10號,815,日盛國際商業銀行,8150152,日盛國際商業銀行國外部,02-23119888,林靜慧,1995-04-09,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8150152",A6305-0013-00,A6305-01-003,A6305-01,A6305-023-00,中正區,臺北市,3,3,15,23
臺北市中正區重慶南路1段10號,25.046607,121.513111,台北市中正區光復里重慶南路一段10號,815,日盛國際商業銀行,8150200,日盛國際商銀國際金融業務分行,02-23119888,林靜慧,1996-10-24,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8150200",A6305-0013-00,A6305-01-003,A6305-01,A6305-023-00,中正區,臺北市,3,3,15,23
台南市中西區府前路一段155號,22.988665,120.20667,台南市中西區郡王里府前路一段155號,004,臺灣銀行,0040093,臺灣銀行臺南分行,06-2160168,吳炳松,1946-05-20,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0040093",A6737-0426-00,A6737-23-003,A6737-23,A6737-007-00,中西區,臺南市,2,2,3,3
台南市中西區府前路1段159號,22.988662,120.206183,台南市中西區郡王里府前路一段159號,822,中國信託商業銀行,8220059,中國信託商業銀行台南分行,06-2152345,張秋芳,,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8220059",A6737-0426-00,A6737-23-003,A6737-23,A6737-007-00,中西區,臺南市,2,2,3,3
台南市南區南門路101號,22.98791,120.204611,台南市中西區郡王里南門路101號,810,星展(台灣)商業銀行,8100098,星展(台灣)商業銀行台南分行,06-6017200,王淑嬅,2012-01-02,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8100098",A6737-0430-00,A6737-24-001,A6737-24,A6737-007-00,中西區,臺南市,1,1,1,3
台中市西區自由路一段140號,24.13664,120.678999,台中市西區民生里自由路一段140號,004,臺灣銀行,0040107,臺灣銀行臺中分行,04-22224001,陳文郁,1946-05-20,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0040107",A6604-0394-00,A6604-30-001,A6604-30,A6604-002-00,西區,臺中市,8,8,8,8
台中市西區民權路91號,24.138041,120.679355,台中市西區民生里民權路91號,006,合作金庫商業銀行,0065160,合作金庫商業銀行新中分行,04-22237711,鄭國禎,2006-05-01,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0065160",A6604-0394-00,A6604-30-001,A6604-30,A6604-002-00,西區,臺中市,8,8,8,8
臺中市西區自由路一段144號,24.137223,120.679422,台中市西區民生里自由路一段144號,007,第一商業銀行,0074016,第一商業銀行台中分行,04-2233611,藍錫振,1918-02-01,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0074016",A6604-0394-00,A6604-30-001,A6604-30,A6604-002-00,西區,臺中市,8,8,8,8
台中市自由路1段148號,24.13741,120.679621,台中市西區民生里自由路一段148號,013,國泰世華商業銀行,0130062,國泰世華商業銀行台中分行,04-22231031,黃勝裕,1981-10-24,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0130062",A6604-0394-00,A6604-30-001,A6604-30,A6604-002-00,西區,臺中市,8,8,8,8
台中市西區民權路87號,24.137522,120.680012,台中市西區民生里民權路87號,053,台中商業銀行,0530020,台中商業銀行營業部,04-22274567,陳志奇,1953-08-01,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0530020",A6604-0394-00,A6604-30-001,A6604-30,A6604-002-00,西區,臺中市,8,8,8,8
台中市西區民權路87號,24.137522,120.680012,台中市西區民生里民權路87號,053,台中商業銀行,0530628,台中商業銀行信託部,04-22236021,林鈺鐘,,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0530628",A6604-0394-00,A6604-30-001,A6604-30,A6604-002-00,西區,臺中市,8,8,8,8
台中市中區民權路87號,24.137522,120.680012,台中市西區民生里民權路87號,053,台中商業銀行,0530673,台中商業銀行國外部,04-22212933,陳芽梅,,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0530673",A6604-0394-00,A6604-30-001,A6604-30,A6604-002-00,西區,臺中市,8,8,8,8
台中市西區自由路一段101號,24.137747,120.679313,台中市西區民生里自由路一段101號,807,永豐商業銀行,8070036,永豐商業銀行台中分行,04-22205766,鄭志順,1992-03-04,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8070036",A6604-0394-00,A6604-30-001,A6604-30,A6604-002-00,西區,臺中市,8,8,8,8
高雄市前金區中正四路264號,22.628009,120.290846,高雄市前金區後金里中正四路264號,004,臺灣銀行,0040118,臺灣銀行高雄分行,07-2515131,陳俊雄,1946-05-20,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0040118",A6407-0074-00,A6407-06-010,A6407-06,A6407-007-00,前金區,高雄市,1,2,3,2
高雄市前金區中正四路230號,22.628559,120.292898,高雄市前金區後金里中正四路230號,006,合作金庫商業銀行,0065241,合作金庫商業銀行港都分行,07-2914131,楊昌烈,2006-05-01,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0065241",A6407-0069-00,A6407-06-010,A6407-06,A6407-007-00,前金區,高雄市,1,2,3,2
基隆市中正區義一路16號,25.13143,121.744882,基隆市中正區港通里義一路16號,004,臺灣銀行,0040129,臺灣銀行基隆分行,02-24247113,江仁湧,1946-05-20,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0040129",A1701-0250-00,A1701-21-008,A1701-21,A17010-005-00,中正區,基隆市,2,3,5,5
基隆市中正區義一路2號,25.130891,121.744378,基隆市中正區港通里義一路2號,807,永豐商業銀行,8071181,永豐商業銀行基隆分行,02-24231161,陳光仁,1949-08-10,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8071181",A1701-0250-00,A1701-21-008,A1701-21,A17010-005-00,中正區,基隆市,2,3,5,5
基隆市義一路十八號,25.131994,121.745184,基隆市中正區港通里義一路18號,005,臺灣土地銀行,0050027,臺灣土地銀行基隆分行,02-24210200,王德義,1947-04-16,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0050027",A1701-0245-00,A1701-21-008,A1701-21,A17010-005-00,中正區,基隆市,1,3,5,5
基隆市中正區義一路57號,25.13384,121.745935,基隆市中正區港通里義一路57號,007,第一商業銀行,0072436,第一商業銀行哨船頭分行,02-24266141,王美智,1968-06-01,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0072436",A1701-0222-00,A1701-21-002,A1701-21,A17010-005-00,中正區,基隆市,1,1,5,5
基隆市中正區義一路122號,25.134636,121.746853,基隆市中正區港通里義一路122號,808,玉山商業銀行,8080783,玉山商業銀行基隆分行,02-24271313,馮天建,1995-10-27,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8080783",A1701-0213-00,A1701-21-001,A1701-21,A17010-005-00,中正區,基隆市,1,1,5,5
南投縣南投市中興新村光華路11號,23.955565,120.688792,南投縣南投市光華里光華路11號,004,臺灣銀行,0040130,臺灣銀行中興新村分行,049-2332101,劉慶桐,1958-12-02,,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=0040130",A0801-0008-00,A0801-02-003,A0801-02,A0801-031-00,南投市,南投縣,1,1,1,1
